Radius_mm,TwoTheta_deg,Intensity_Raw,Intensity_Normalized_Percent
0.0,0.0,241.0,100.0
0.04185344608017931,0.07993398651064533,241.0,100.0
0.08370689216035862,0.15986672841389124,240.8125,99.92219917012449
0.12556033824053792,0.23979698121860887,240.45,99.77178423236515
0.16741378432071724,0.3197235006661836,240.20833333333334,99.67150760719225
0.20926723040089656,0.39964504284670355,240.05,99.60580912863071
0.25112067648107583,0.47956036431506815,240.05555555555554,99.60811433840479
0.29297412256125516,0.5594682222069868,239.95833333333334,99.56777316735823
0.3348275686414345,0.6393673743548427,239.82142857142858,99.51096621221103
0.3766810147216138,0.7192565794033943,239.73214285714286,99.47391819798459
0.41853446080179313,0.7991345969252867,239.7941176470588,99.49963387844764
0.4603879068819724,0.8790001875363471,239.671875,99.44891078838174
0.5022413529621517,0.9588521130106382,239.7125,99.46576763485477
0.544094799042331,1.0386891363952406,239.56521739130434,99.40465451921342
0.5859482451225103,1.1185100221247388,239.17045454545453,99.24085250848735
0.6278016912026897,1.1983135361353883,239.16666666666666,99.23928077455048
0.669655137282869,1.278098445978928,239.46875,99.3646265560166
0.7115085833630482,1.357863520936023,239.43965517241378,99.3525540134497
0.7533620294432276,1.4376075321293054,239.025,99.1804979253112
0.7952154755234069,1.5173292526359858,238.69166666666666,99.04218533886583
0.8370689216035863,1.5970274576000176,238.49193548387098,98.95930932940703
0.8789223676837655,1.6767009243437787,238.23611111111111,98.85315813739051
0.9207758137639448,1.7563484324792549,237.56617647058823,98.5751769587503
0.9626292598441242,1.8359687640186937,237.37142857142857,98.49436870183757
1.0044827059243033,1.915560703484705,237.15131578947367,98.40303559729198
1.0463361520044827,1.9951230380197886,236.41666666666666,98.0982019363762
1.088189598084662,2.074654557495255,236.1875,98.00311203319502
1.1300430441648415,2.1541540546195277,235.8109756097561,97.84687784637183
1.1718964902450206,2.23362032504579,235.5,97.71784232365145
1.2137499363252,2.313052167478968,235.0625,97.53630705394191
1.2556033824053794,2.3924483837820087,234.39893617021278,97.26096936523352
1.2974568284855585,2.471807779081447,233.93269230769232,97.06750718161507
1.339310274565738,2.551129161872229,233.43,96.85892116182573
1.3811637206459173,2.630411344121774,232.72596153846155,96.56678902010853
1.4230171667260965,2.7096531413732463,232.01754385964912,96.27283977578801
1.4648706128062758,2.788853372848032,231.62019230769232,96.10796361315033
1.5067240588864552,2.8680108615473716,231.17672413793105,95.92395192445272
1.5485775049666344,2.9471244343531593,230.62280701754386,95.69411079566136
1.5904309510468138,3.026192922127864,229.64453125,95.2881872406639
1.6322843971269931,3.105215159813561,229.3508064516129,95.16630973095971
1.6741378432071725,3.1841899865300585,228.92796610169492,94.99085730360785
1.7159912892873517,3.263116245672093,228.75367647058823,94.91853795460092
1.757844735367531,3.3419927850055755,228.37121212121212,94.75983905444487
1.7996981814477104,3.4208184567628726,227.80902777777777,94.52656754264638
1.8415516275278896,3.4995921177371008,227.53985507246378,94.41487762342895
1.883405073608069,3.5783126293754215,227.2610294117647,94.29918232853308
1.9252585196882483,3.656978857871309,226.8310810810811,94.12078053156891
1.9671119657684275,3.735589674255788,226.66780821917808,94.05303245609049
2.0089654118486067,3.8141439544876126,226.2596153846154,93.88365783594
2.0508188579287863,3.8926405795423746,226.31578947368422,93.90696658659097
2.0926723040089654,3.971078435500528,226.16071428571428,93.8426200355661
2.134525750089145,4.049456413634307,225.84567901234567,93.71190000512269
2.176379196169324,4.127773410493535,225.74679487179486,93.67086924140867
2.2182326422495033,4.206028327990288,225.45058139534885,93.54795908520698
2.260086088329683,4.2842200734824365,224.59876543209876,93.19450847804927
2.301939534409862,4.362347559855993,224.18351063829786,93.02220358435595
2.3437929804900413,4.440409705606326,223.9622093023256,92.93037730386953
2.385646426570221,4.518405434918159,223.55833333333334,92.7627939142462
2.4274998726504,4.596333677744383,223.67032967032966,92.8092654233733
2.469353318730579,4.674193369883665,223.7826086956522,92.85585423056108
2.5112067648107588,4.751983453056825,223.9158163265306,92.91112710644424
2.553060210890938,4.829702874981984,223.90721649484536,92.90755871155409
2.594913656971117,4.907350589448477,223.9591836734694,92.92912185621137
2.6367671030512967,4.984925556389506,223.6375,92.79564315352697
2.678620549131476,5.062426741953526,223.61340206185568,92.78564400906875
2.720473995211655,5.139853118574376,223.00462962962962,92.53304134009528
2.7623274412918346,5.2172036650401195,223.1725,92.60269709543569
2.8041808873720138,5.29447736656059,223.6179245283019,92.78752055116261
2.846034333452193,5.37167321483366,223.7146017699115,92.82763558917489
2.8878877795323725,5.448790208110184,223.69471153846155,92.81938238110438
2.9297412256125517,5.5258273512576555,223.47991071428572,92.73025340841731
2.971594671692731,5.602783655822526,223.04439252336448,92.54954046612633
3.0134481177729104,5.6796581400912185,223.39791666666667,92.69623098201937
3.0553015638530896,5.756449829149799,223.33405172413794,92.66973100586637
3.0971550099332688,5.833157754942331,223.42025862068965,92.70550150236086
3.1390084560134484,5.909780956327879,223.55042016806723,92.75951044318143
3.1808619020936275,5.986318479136176,223.23333333333332,92.62793914246195
3.2227153481738067,6.062769376221954,223.06451612903226,92.55789050997188
3.2645687942539863,6.139132707517908,222.4096638655462,92.28616757906481
3.3064222403341654,6.215407540086332,222.62701612903226,92.37635524026234
3.348275686414345,6.29159294816938,222.8846153846154,92.48324289818066
3.390129132494524,6.36768801323799,222.948,92.50954356846474
3.4319825785747033,6.443691824039441,222.27611940298507,92.23075493899796
3.473836024654883,6.519603476643558,222.25198412698413,92.22074030165317
3.515689470735062,6.595422074487556,222.72388059701493,92.41654796556637
